(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(234)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(251)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(255)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(258)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(271)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(275)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(277)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(279)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(280)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(284)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(288)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(289)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(291)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(295)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(301)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(302)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0006585879873551106, S=0.00048633401420095323}
